,index,User_id,Local_sg_time,POI_id,POI_Type,Location_id,Category,L2_id,weekend,hour,new_id,new_id_reindex,location_id_reindex,user_id_reindex
26,30,521,2013-07-08 12:28:36+00:00,1218,Independent,1218,American Restaurant,11,0,12,11,11,743,0
27,31,521,2013-07-08 15:52:29+00:00,2103,Combined,1160,American Restaurant,11,0,15,2103,147,704,0
28,32,521,2013-07-08 15:52:33+00:00,2103,Combined,1161,Pub,3,0,15,2103,147,705,0
29,33,521,2013-07-09 11:09:19+00:00,1180,Independent,1180,Steakhouse,2,0,11,2,2,716,0
30,34,521,2013-07-09 11:09:39+00:00,1182,Independent,1182,Coffee Shop,6,0,11,6,6,718,0
31,35,521,2013-07-09 14:44:09+00:00,1184,Independent,1184,Bar,5,0,14,5,5,720,0
32,36,521,2013-07-09 17:48:23+00:00,2104,Combined,1219,American Restaurant,11,0,17,2104,148,744,0
33,37,521,2013-07-09 17:48:44+00:00,2104,Combined,1224,American Restaurant,11,0,17,2104,148,747,0
34,38,521,2013-07-09 18:09:03+00:00,541,Independent,541,Pizza Place,15,0,18,15,15,342,0
35,39,521,2013-07-10 10:11:53+00:00,1109,Independent,1109,Caf,13,0,10,13,13,682,0
36,40,521,2013-07-10 10:12:21+00:00,1107,Independent,1107,Bar,5,0,10,5,5,681,0
37,42,521,2013-08-22 05:38:19+00:00,1100,Independent,1100,Hotel,1,0,5,1,1,674,0
38,43,521,2013-08-22 05:38:49+00:00,1101,Independent,1101,Coffee Shop,6,0,5,6,6,675,0
39,56,3481,2013-07-08 15:17:31+00:00,2216,Combined,359,Clothing Store,21,0,15,2216,167,214,1
40,57,3481,2013-07-08 17:39:30+00:00,138,Independent,138,Pizza Place,15,0,17,15,15,77,1
41,58,3481,2013-07-09 17:06:54+00:00,732,Independent,732,Sushi Restaurant,22,0,17,22,21,456,1
42,59,3481,2013-07-09 18:36:00+00:00,734,Independent,734,Bookstore,23,0,18,23,22,457,1
43,60,3629,2012-05-05 04:17:35+00:00,182,Independent,182,Fast Food Restaurant,24,1,4,24,23,102,2
44,61,3629,2012-05-05 05:23:19+00:00,1207,Independent,1207,Light Rail,18,1,5,18,17,737,2
45,62,3629,2012-05-05 14:40:26+00:00,2102,Combined,1236,Drugstore / Pharmacy,25,1,14,2102,146,752,2
46,64,3629,2012-05-08 04:44:15+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
47,65,3629,2012-05-08 15:02:52+00:00,908,Independent,908,Paper / Office Supplies Store,26,0,15,26,25,563,2
48,66,3629,2012-05-08 15:06:10+00:00,899,Independent,899,Strip Club,27,0,15,27,26,556,2
49,67,3629,2012-05-08 16:00:09+00:00,2207,Combined,865,Sporting Goods Shop,28,0,16,2207,158,537,2
50,68,3629,2012-05-10 11:18:15+00:00,1094,Independent,1094,Strip Club,27,0,11,27,26,668,2
51,69,3629,2012-05-10 13:20:33+00:00,883,Independent,883,Hardware Store,29,0,13,29,28,547,2
52,70,3629,2012-05-11 14:36:59+00:00,883,Independent,883,Hardware Store,29,0,14,29,28,547,2
53,71,3629,2012-05-11 14:37:43+00:00,884,Independent,884,Grocery Store,30,0,14,30,29,548,2
54,73,3629,2012-05-13 04:09:03+00:00,182,Independent,182,Fast Food Restaurant,24,1,4,24,23,102,2
55,74,3629,2012-05-13 14:15:47+00:00,2105,Combined,1239,Fast Food Restaurant,24,1,14,2105,149,754,2
56,75,3629,2012-05-14 04:42:06+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
57,76,3629,2012-05-14 14:37:41+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
58,78,3629,2012-05-16 04:43:56+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
59,79,3629,2012-05-16 13:54:17+00:00,899,Independent,899,Strip Club,27,0,13,27,26,556,2
60,80,3629,2012-05-16 16:17:41+00:00,873,Independent,873,Electronics Store,31,0,16,31,30,541,2
61,82,3629,2012-05-18 13:52:36+00:00,2102,Combined,1258,Electronics Store,31,0,13,2102,146,770,2
62,83,3629,2012-05-18 14:15:03+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
63,84,3629,2012-05-18 22:48:21+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,22,2105,149,754,2
64,85,3629,2012-05-19 11:02:59+00:00,2102,Combined,1257,Fast Food Restaurant,24,1,11,2102,146,769,2
65,86,3629,2012-05-19 11:28:32+00:00,2105,Combined,1239,Fast Food Restaurant,24,1,11,2105,149,754,2
66,87,3629,2012-05-21 04:15:08+00:00,182,Independent,182,Fast Food Restaurant,24,0,4,24,23,102,2
67,88,3629,2012-05-21 05:18:40+00:00,1206,Independent,1206,City Hall,32,0,5,32,31,736,2
68,89,3629,2012-05-21 13:45:18+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,13,2105,149,754,2
69,90,3629,2012-05-21 14:18:27+00:00,1214,Independent,1214,Monument / Landmark,33,0,14,33,32,740,2
70,93,3629,2012-05-25 11:37:36+00:00,1101,Independent,1101,Coffee Shop,6,0,11,6,6,675,2
71,94,3629,2012-05-25 11:43:46+00:00,1094,Independent,1094,Strip Club,27,0,11,27,26,668,2
72,95,3629,2012-05-25 15:43:25+00:00,899,Independent,899,Strip Club,27,0,15,27,26,556,2
73,97,3629,2012-05-27 13:20:55+00:00,1207,Independent,1207,Light Rail,18,1,13,18,17,737,2
74,98,3629,2012-05-27 13:49:43+00:00,2105,Combined,1239,Fast Food Restaurant,24,1,13,2105,149,754,2
75,99,3629,2012-05-27 21:47:24+00:00,180,Independent,180,Casino,8,1,21,8,8,101,2
76,100,3629,2012-05-27 22:33:57+00:00,1207,Independent,1207,Light Rail,18,1,22,18,17,737,2
77,101,3629,2012-05-28 12:26:38+00:00,209,Independent,209,Hospital,34,0,12,34,33,122,2
78,102,3629,2012-05-28 14:48:43+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
79,103,3629,2012-05-29 04:40:41+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
80,104,3629,2012-05-29 14:23:24+00:00,2102,Combined,1236,Drugstore / Pharmacy,25,0,14,2102,146,752,2
81,108,3629,2012-06-04 14:18:48+00:00,904,Independent,904,Coffee Shop,6,0,14,6,6,560,2
82,109,3629,2012-06-04 14:19:40+00:00,899,Independent,899,Strip Club,27,0,14,27,26,556,2
83,110,3629,2012-06-06 04:43:48+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
84,111,3629,2012-06-06 14:22:59+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
85,112,3629,2012-06-07 04:41:42+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
86,113,3629,2012-06-07 14:09:06+00:00,2102,Combined,1236,Drugstore / Pharmacy,25,0,14,2102,146,752,2
87,114,3629,2012-06-08 04:40:15+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
88,115,3629,2012-06-08 14:43:38+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
89,117,3629,2012-06-10 15:22:18+00:00,884,Independent,884,Grocery Store,30,1,15,30,29,548,2
90,118,3629,2012-06-10 15:42:57+00:00,901,Independent,901,Automotive Shop,35,1,15,35,34,558,2
91,119,3629,2012-06-10 15:49:00+00:00,903,Independent,903,Drugstore / Pharmacy,25,1,15,25,24,559,2
92,120,3629,2012-06-10 15:56:18+00:00,905,Independent,905,Ice Cream Shop,9,1,15,9,9,561,2
93,121,3629,2012-06-11 10:18:14+00:00,209,Independent,209,Hospital,34,0,10,34,33,122,2
94,122,3629,2012-06-11 14:49:18+00:00,903,Independent,903,Drugstore / Pharmacy,25,0,14,25,24,559,2
95,123,3629,2012-06-12 11:28:17+00:00,1207,Independent,1207,Light Rail,18,0,11,18,17,737,2
96,124,3629,2012-06-12 12:50:46+00:00,1094,Independent,1094,Strip Club,27,0,12,27,26,668,2
97,127,3629,2012-06-16 14:19:37+00:00,2105,Combined,1239,Fast Food Restaurant,24,1,14,2105,149,754,2
98,128,3629,2012-06-16 14:31:27+00:00,2102,Combined,1236,Drugstore / Pharmacy,25,1,14,2102,146,752,2
99,129,3629,2012-06-17 14:04:41+00:00,2207,Combined,865,Sporting Goods Shop,28,1,14,2207,158,537,2
100,130,3629,2012-06-17 14:11:47+00:00,2207,Combined,866,Department Store,19,1,14,2207,158,538,2
101,132,3629,2012-06-26 11:48:41+00:00,1094,Independent,1094,Strip Club,27,0,11,27,26,668,2
102,133,3629,2012-06-26 12:38:53+00:00,2105,Combined,1237,Miscellaneous Shop,36,0,12,2105,149,753,2
103,134,3629,2012-06-26 12:44:06+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,12,2105,149,754,2
104,135,3629,2012-07-02 04:09:13+00:00,182,Independent,182,Fast Food Restaurant,24,0,4,24,23,102,2
105,136,3629,2012-07-02 14:36:52+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
106,138,3629,2012-07-04 12:05:44+00:00,1072,Independent,1072,Bus Line,37,0,12,37,36,658,2
107,139,3629,2012-07-04 12:34:05+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,12,2105,149,754,2
108,140,3629,2012-07-05 11:40:00+00:00,2105,Combined,1141,Sporting Goods Shop,28,0,11,2105,149,695,2
109,141,3629,2012-07-05 12:44:35+00:00,2207,Combined,865,Sporting Goods Shop,28,0,12,2207,158,537,2
110,142,3629,2012-07-05 12:44:58+00:00,2207,Combined,870,Department Store,19,0,12,2207,158,540,2
111,143,3629,2012-07-07 14:01:34+00:00,2105,Combined,1239,Fast Food Restaurant,24,1,14,2105,149,754,2
112,144,3629,2012-07-07 14:13:50+00:00,2102,Combined,1236,Drugstore / Pharmacy,25,1,14,2102,146,752,2
113,145,3629,2012-07-09 04:40:17+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
114,146,3629,2012-07-09 14:23:48+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
115,147,3629,2012-07-10 14:23:21+00:00,2105,Combined,1237,Miscellaneous Shop,36,0,14,2105,149,753,2
116,148,3629,2012-07-10 14:31:45+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
117,149,3629,2012-07-11 04:41:46+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,4,2105,149,754,2
118,150,3629,2012-07-11 14:09:56+00:00,908,Independent,908,Paper / Office Supplies Store,26,0,14,26,25,563,2
119,151,3629,2012-07-11 14:14:49+00:00,903,Independent,903,Drugstore / Pharmacy,25,0,14,25,24,559,2
120,152,3629,2012-07-12 11:10:25+00:00,2105,Combined,1141,Sporting Goods Shop,28,0,11,2105,149,695,2
121,153,3629,2012-07-12 11:30:52+00:00,1094,Independent,1094,Strip Club,27,0,11,27,26,668,2
122,154,3629,2012-07-12 13:22:49+00:00,2102,Combined,1243,Fast Food Restaurant,24,0,13,2102,146,757,2
123,155,3629,2012-07-13 10:36:39+00:00,2208,Combined,945,Smoke Shop,38,0,10,2208,159,584,2
124,156,3629,2012-07-13 10:42:27+00:00,2208,Combined,943,Department Store,19,0,10,2208,159,582,2
125,159,3629,2012-07-24 13:37:47+00:00,2102,Combined,1236,Drugstore / Pharmacy,25,0,13,2102,146,752,2
126,160,3629,2012-07-24 14:02:10+00:00,2105,Combined,1239,Fast Food Restaurant,24,0,14,2105,149,754,2
127,162,3629,2012-07-29 12:14:27+00:00,2207,Combined,870,Department Store,19,1,12,2207,158,540,2
128,163,3629,2012-07-29 12:20:24+00:00,2207,Combined,865,Sporting Goods Shop,28,1,12,2207,158,537,2
129,164,3629,2012-07-29 20:45:43+00:00,905,Independent,905,Ice Cream Shop,9,1,20,9,9,561,2
130,165,3629,2012-07-30 09:28:47+00:00,1207,Independent,1207,Light Rail,18,0,9,18,17,737,2
131,166,3629,2012-07-30 10:07:16+00:00,2216,Combined,320,Sporting Goods Shop,28,0,10,2216,167,190,2
132,167,3629,2012-07-30 11:44:54+00:00,2214,Combined,39,Multiplex,39,0,11,2214,165,22,2
133,168,3629,2012-07-30 13:28:17+00:00,899,Independent,899,Strip Club,27,0,13,27,26,556,2
134,172,3629,2012-09-14 11:17:09+00:00,1094,Independent,1094,Strip Club,27,0,11,27,26,668,2
135,173,3629,2012-09-14 13:42:02+00:00,884,Independent,884,Grocery Store,30,0,13,30,29,548,2
136,174,3629,2012-09-14 13:47:03+00:00,907,Independent,907,Electronics Store,31,0,13,31,30,562,2
137,175,3629,2012-09-14 20:32:04+00:00,903,Independent,903,Drugstore / Pharmacy,25,0,20,25,24,559,2
138,189,5554,2012-04-10 17:26:18+00:00,947,Independent,947,Concert Hall,40,0,17,40,38,585,3
139,190,5554,2012-04-10 22:02:31+00:00,1098,Independent,1098,Fast Food Restaurant,24,0,22,24,23,672,3
140,192,5554,2012-04-13 16:17:52+00:00,2218,Combined,109,Department Store,19,0,16,2218,169,57,3
141,193,5554,2012-04-13 19:22:21+00:00,1207,Independent,1207,Light Rail,18,0,19,18,17,737,3
142,194,5554,2012-04-13 19:42:37+00:00,864,Independent,864,Pub,3,0,19,3,3,536,3
143,195,5554,2012-04-13 23:15:15+00:00,877,Independent,877,Multiplex,39,0,23,39,37,543,3
144,198,5554,2012-04-28 14:37:07+00:00,405,Independent,405,Stadium,0,1,14,0,0,242,3
145,199,5554,2012-04-28 19:12:52+00:00,2216,Combined,319,Music Store,41,1,19,2216,167,189,3
146,202,5554,2012-05-04 13:23:46+00:00,1207,Independent,1207,Light Rail,18,0,13,18,17,737,3
147,203,5554,2012-05-04 21:27:03+00:00,2301,Combined,332,Pizza Place,15,0,21,2301,174,198,3
148,205,5554,2012-05-06 10:18:29+00:00,890,Independent,890,Hotel,1,1,10,1,1,552,3
149,206,5554,2012-05-06 12:48:36+00:00,1207,Independent,1207,Light Rail,18,1,12,18,17,737,3
150,209,5554,2012-05-12 17:20:34+00:00,54,Independent,54,Coffee Shop,6,1,17,6,6,33,3
151,210,5554,2012-05-12 21:18:04+00:00,53,Independent,53,Department Store,19,1,21,19,18,32,3
152,213,5554,2012-05-18 17:28:56+00:00,2216,Combined,319,Music Store,41,0,17,2216,167,189,3
153,214,5554,2012-05-18 17:43:21+00:00,2216,Combined,321,Sporting Goods Shop,28,0,17,2216,167,191,3
154,215,5554,2012-05-18 18:17:08+00:00,2216,Combined,356,Clothing Store,21,0,18,2216,167,211,3
155,216,5554,2012-05-18 18:29:57+00:00,2216,Combined,317,Bookstore,23,0,18,2216,167,187,3
156,217,5554,2012-05-19 07:53:43+00:00,405,Independent,405,Stadium,0,1,7,0,0,242,3
157,218,5554,2012-05-19 15:28:17+00:00,414,Independent,414,Fast Food Restaurant,24,1,15,24,23,245,3
158,221,5554,2012-05-26 17:52:04+00:00,2205,Combined,853,Grocery Store,30,1,17,2205,156,530,3
159,222,5554,2012-05-26 22:48:28+00:00,2201,Combined,584,Fast Food Restaurant,24,1,22,2201,152,371,3
160,223,5554,2012-05-28 18:10:57+00:00,2221,Combined,75,Bookstore,23,0,18,2221,172,42,3
161,224,5554,2012-05-28 18:57:48+00:00,423,Independent,423,Japanese Restaurant,14,0,18,14,14,251,3
162,226,5554,2012-06-30 21:27:37+00:00,842,Independent,842,Pizza Place,15,1,21,15,15,523,3
163,227,5554,2012-06-30 22:38:06+00:00,1145,Independent,1145,Light Rail,18,1,22,18,17,697,3
164,236,5554,2012-07-13 11:24:19+00:00,1207,Independent,1207,Light Rail,18,0,11,18,17,737,3
165,237,5554,2012-07-13 11:58:19+00:00,2207,Combined,865,Sporting Goods Shop,28,0,11,2207,158,537,3
166,239,5554,2012-07-28 17:10:12+00:00,978,Independent,978,Football Stadium,44,1,17,44,41,603,3
167,240,5554,2012-07-28 21:02:33+00:00,981,Independent,981,Pizza Place,15,1,21,15,15,604,3
168,241,5554,2012-08-09 21:06:35+00:00,20,Independent,20,Sports Bar,42,0,21,42,39,10,3
169,242,5554,2012-08-09 23:24:13+00:00,269,Independent,269,Casino,8,0,23,8,8,151,3
170,247,5554,2012-08-17 16:50:20+00:00,196,Independent,196,Wings Joint,45,0,16,45,42,110,3
171,248,5554,2012-08-17 18:47:04+00:00,129,Independent,129,Department Store,19,0,18,19,18,70,3
172,249,5554,2012-08-17 18:56:00+00:00,123,Independent,123,Gaming Cafe,46,0,18,46,43,65,3
173,250,5554,2012-08-17 19:50:13+00:00,2217,Combined,119,Toy / Game Store,47,0,19,2217,168,63,3
174,252,5554,2012-09-05 17:38:22+00:00,2103,Combined,1164,Multiplex,39,0,17,2103,147,707,3
175,253,5554,2012-09-05 19:28:45+00:00,2105,Combined,1241,Sports Bar,42,0,19,2105,149,756,3
176,255,5554,2012-09-14 15:25:00+00:00,405,Independent,405,Stadium,0,0,15,0,0,242,3
177,256,5554,2012-09-14 20:31:30+00:00,196,Independent,196,Wings Joint,45,0,20,45,42,110,3
178,257,5554,2012-09-14 21:31:37+00:00,130,Independent,130,Restaurant,16,0,21,16,16,71,3
179,259,5554,2012-10-22 15:18:29+00:00,405,Independent,405,Stadium,0,0,15,0,0,242,3
180,260,5554,2012-10-22 20:54:59+00:00,53,Independent,53,Department Store,19,0,20,19,18,32,3
181,262,5554,2012-10-24 05:05:20+00:00,405,Independent,405,Stadium,0,0,5,0,0,242,3
182,263,5554,2012-10-24 16:21:17+00:00,490,Independent,490,Medical Center,48,0,16,48,44,303,3
183,269,5554,2012-11-20 15:50:46+00:00,1245,Independent,1245,Department Store,19,0,15,19,18,759,3
184,270,5554,2012-11-20 19:39:42+00:00,2105,Combined,1138,Miscellaneous Shop,36,0,19,2105,149,694,3
185,273,5554,2012-11-24 16:17:51+00:00,2218,Combined,109,Department Store,19,1,16,2218,169,57,3
186,274,5554,2012-11-24 16:20:45+00:00,2218,Combined,108,Sporting Goods Shop,28,1,16,2218,169,56,3
187,275,5554,2012-11-24 16:35:19+00:00,2218,Combined,111,Clothing Store,21,1,16,2218,169,59,3
188,277,5554,2012-11-28 18:12:20+00:00,947,Independent,947,Concert Hall,40,0,18,40,38,585,3
189,278,5554,2012-11-28 21:37:48+00:00,76,Independent,76,Movie Theater,50,0,21,50,46,43,3
190,280,5554,2012-12-03 15:33:39+00:00,2216,Combined,319,Music Store,41,0,15,2216,167,189,3
191,281,5554,2012-12-03 17:26:27+00:00,196,Independent,196,Wings Joint,45,0,17,45,42,110,3
192,282,5554,2012-12-07 18:31:32+00:00,77,Independent,77,Pub,3,0,18,3,3,44,3
193,283,5554,2012-12-07 19:15:35+00:00,76,Independent,76,Movie Theater,50,0,19,50,46,43,3
194,289,5554,2012-12-19 17:51:37+00:00,196,Independent,196,Wings Joint,45,0,17,45,42,110,3
195,290,5554,2012-12-19 19:58:55+00:00,408,Independent,408,Casino,8,0,19,8,8,244,3
196,305,5554,2013-02-11 15:11:03+00:00,949,Independent,949,Coffee Shop,6,0,15,6,6,587,3
197,306,5554,2013-02-11 15:48:54+00:00,405,Independent,405,Stadium,0,0,15,0,0,242,3
198,311,5554,2013-02-25 16:40:49+00:00,2216,Combined,356,Clothing Store,21,0,16,2216,167,211,3
199,312,5554,2013-02-25 16:54:52+00:00,2216,Combined,320,Sporting Goods Shop,28,0,16,2216,167,190,3
200,313,5554,2013-02-25 17:14:45+00:00,2216,Combined,317,Bookstore,23,0,17,2216,167,187,3
201,329,5554,2013-04-16 13:39:16+00:00,1031,Independent,1031,University,53,0,13,53,49,634,3
202,330,5554,2013-04-16 17:52:24+00:00,2218,Combined,109,Department Store,19,0,17,2218,169,57,3
203,331,5554,2013-04-16 18:05:56+00:00,2218,Combined,108,Sporting Goods Shop,28,0,18,2218,169,56,3
204,332,5554,2013-04-16 18:16:51+00:00,2218,Combined,111,Clothing Store,21,0,18,2218,169,59,3
205,333,5554,2013-04-16 19:44:15+00:00,53,Independent,53,Department Store,19,0,19,19,18,32,3
206,340,5554,2013-05-02 15:11:43+00:00,53,Independent,53,Department Store,19,0,15,19,18,32,3
207,341,5554,2013-05-02 15:25:00+00:00,52,Independent,52,Electronics Store,31,0,15,31,30,31,3
208,342,5554,2013-05-02 15:34:51+00:00,54,Independent,54,Coffee Shop,6,0,15,6,6,33,3
209,343,5554,2013-05-16 18:28:54+00:00,2105,Combined,1138,Miscellaneous Shop,36,0,18,2105,149,694,3
210,344,5554,2013-05-16 18:40:21+00:00,1145,Independent,1145,Light Rail,18,0,18,18,17,697,3
211,345,5554,2013-05-17 15:45:27+00:00,55,Independent,55,Department Store,19,0,15,19,18,34,3
212,346,5554,2013-05-17 17:39:16+00:00,405,Independent,405,Stadium,0,0,17,0,0,242,3
213,352,5554,2013-06-27 14:36:25+00:00,55,Independent,55,Department Store,19,0,14,19,18,34,3
214,353,5554,2013-06-27 15:12:50+00:00,53,Independent,53,Department Store,19,0,15,19,18,32,3
215,356,5554,2013-08-13 21:03:17+00:00,53,Independent,53,Department Store,19,0,21,19,18,32,3
216,357,5554,2013-08-13 21:30:49+00:00,54,Independent,54,Coffee Shop,6,0,21,6,6,33,3
217,374,9990,2012-07-04 17:26:46+00:00,1083,Independent,1083,Hotel,1,0,17,1,1,662,4
218,375,9990,2012-07-04 22:07:18+00:00,1088,Independent,1088,University,53,0,22,53,49,666,4
219,376,9990,2012-07-05 13:54:45+00:00,1083,Independent,1083,Hotel,1,0,13,1,1,662,4
220,377,9990,2012-07-05 21:20:45+00:00,1084,Independent,1084,Bar,5,0,21,5,5,663,4
221,402,13767,2012-09-14 08:27:13+00:00,1013,Independent,1013,Pet Store,61,0,8,61,56,622,5
222,403,13767,2012-09-14 11:14:02+00:00,2202,Combined,612,Grocery Store,30,0,11,2202,153,380,5
223,404,13767,2012-09-14 11:43:10+00:00,2202,Combined,618,Pet Store,61,0,11,2202,153,385,5
224,408,13767,2012-10-12 12:02:54+00:00,2300,Combined,674,Coffee Shop,6,0,12,2300,173,422,5
225,409,13767,2012-10-12 16:26:13+00:00,2204,Combined,742,Department Store,19,0,16,2204,155,463,5
226,413,13767,2012-10-30 08:29:23+00:00,2300,Combined,688,Juice Bar,64,0,8,2300,173,431,5
227,414,13767,2012-10-30 13:59:14+00:00,505,Independent,505,Doctor's Office,65,0,13,65,60,313,5
228,415,13767,2012-10-30 17:49:28+00:00,1029,Independent,1029,Pub,3,0,17,3,3,632,5
229,417,13767,2012-11-05 16:40:57+00:00,839,Independent,839,Hotel,1,0,16,1,1,522,5
230,418,13767,2012-11-05 20:17:42+00:00,2204,Combined,742,Department Store,19,0,20,2204,155,463,5
231,425,13767,2012-11-27 09:27:23+00:00,505,Independent,505,Doctor's Office,65,0,9,65,60,313,5
232,426,13767,2012-11-27 10:36:44+00:00,827,Independent,827,Coffee Shop,6,0,10,6,6,516,5
233,429,13767,2012-12-05 09:05:08+00:00,929,Independent,929,Coffee Shop,6,0,9,6,6,574,5
234,430,13767,2012-12-05 11:02:33+00:00,664,Independent,664,Dog Run,67,0,11,67,62,417,5
235,431,13767,2012-12-06 10:04:16+00:00,2204,Combined,742,Department Store,19,0,10,2204,155,463,5
236,432,13767,2012-12-06 10:33:13+00:00,664,Independent,664,Dog Run,67,0,10,67,62,417,5
237,433,13767,2012-12-06 18:33:44+00:00,2204,Combined,742,Department Store,19,0,18,2204,155,463,5
238,440,13767,2012-12-18 13:48:12+00:00,735,Independent,735,Hospital,34,0,13,34,33,458,5
239,441,13767,2012-12-18 18:45:12+00:00,405,Independent,405,Stadium,0,0,18,0,0,242,5
240,444,13767,2012-12-28 08:50:06+00:00,735,Independent,735,Hospital,34,0,8,34,33,458,5
241,445,13767,2012-12-28 20:51:26+00:00,735,Independent,735,Hospital,34,0,20,34,33,458,5
242,447,13767,2012-12-31 13:24:12+00:00,735,Independent,735,Hospital,34,0,13,34,33,458,5
243,448,13767,2012-12-31 14:17:09+00:00,2216,Combined,351,American Restaurant,11,0,14,2216,167,210,5
244,451,13767,2013-01-05 10:15:38+00:00,664,Independent,664,Dog Run,67,1,10,67,62,417,5
245,452,13767,2013-01-05 23:09:16+00:00,735,Independent,735,Hospital,34,1,23,34,33,458,5
246,453,13767,2013-01-06 10:09:48+00:00,664,Independent,664,Dog Run,67,1,10,67,62,417,5
247,454,13767,2013-01-06 12:34:05+00:00,2210,Combined,1046,Pub,3,1,12,2210,161,644,5
248,455,13767,2013-01-07 00:00:14+00:00,735,Independent,735,Hospital,34,0,0,34,33,458,5
249,456,13767,2013-01-07 10:00:02+00:00,2208,Combined,944,Mall,68,0,10,2208,159,583,5
250,457,13767,2013-01-07 11:25:34+00:00,735,Independent,735,Hospital,34,0,11,34,33,458,5
251,458,13767,2013-01-07 20:06:22+00:00,735,Independent,735,Hospital,34,0,20,34,33,458,5
252,460,13767,2013-01-09 10:10:55+00:00,2300,Combined,674,Coffee Shop,6,0,10,2300,173,422,5
